"titles_south","word","n","total","tf","idf","tf_idf"
"Industrial Evolution","better",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","between",1,4393,0.000227634873662645,0.693147180559945,0.000157784470876382
"Industrial Evolution","beyond",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","bid",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","biggest",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","bill",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","bit",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","bleak",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","blue",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","boats",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","body",1,4393,0.000227634873662645,0,0
"Industrial Evolution","bolson",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","boom",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","booms",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","born",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","borne",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","boundless",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","branches",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","bred",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","bring",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","broadside",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","broke",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","brown",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","brunt",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","build",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","building",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","buildings",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","bullish",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","burden",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","busts",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","buy",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","byline",1,4393,0.000227634873662645,0,0
"Industrial Evolution","cafe",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","calculus",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","californian",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","canadian",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","capable",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","capacity",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","capita",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cases",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","catch",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cause",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","causing",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cavernous",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","cedar",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","certainly",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","changes",1,4393,0.000227634873662645,0.693147180559945,0.000157784470876382
"Industrial Evolution","chapter",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","cheap",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","cheaper",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cheek",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","chemical's",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","chemicals",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","chihuahuan",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","chlorination",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","christian",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","christmas",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","church",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","civic",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","class",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","classification",1,4393,0.000227634873662645,0,0
"Industrial Evolution","cleaning",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cleansed",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","clicks",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","client",1,4393,0.000227634873662645,0,0
"Industrial Evolution","clothes",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cloud",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","co",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","collected",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","colorado",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","colorful",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","combat",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","comes",1,4393,0.000227634873662645,0.826678573184468,0.000188180872566462
"Industrial Evolution","coming",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","comments",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","committee",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","commodity",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","common",1,4393,0.000227634873662645,0.980829253011726,0.000223270943093951
"Industrial Evolution","companies",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","compared",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","complex's",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","compound",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","compounded",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","concerns",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","condensing",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","conditioners",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","conditioning",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","conditions",1,4393,0.000227634873662645,0,0
"Industrial Evolution","cones",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","confidence",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","consequences",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","conserving",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","considered",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","constructing",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","contained",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","contemplate",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","content",1,4393,0.000227634873662645,0,0
"Industrial Evolution","continental",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","continue",1,4393,0.000227634873662645,0.980829253011726,0.000223270943093951
"Industrial Evolution","contrast",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","cool",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","cooled",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cope",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","coping",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","corner",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","couple",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","courses",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cover",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","cranked",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cranking",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","crazier",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","create",1,4393,0.000227634873662645,0.980829253011726,0.000223270943093951
"Industrial Evolution","created",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","credit",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","crisis",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","cutbacks",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cutting",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","cycles",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","daily",1,4393,0.000227634873662645,0.575364144903562,0.000130972944435138
"Industrial Evolution","dallas",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","damage",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","dams",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","dead",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","dealt",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","decisions",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","decline",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","deep",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","delivering",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","delivers",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","demands",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","dependent",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","derided",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","described",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","design",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","designed",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","details",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","detroit",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","different",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","din",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","dinner",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","directly",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","dirt",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","disappear",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","disbanded",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","discharge",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","disposed",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","district",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","divide",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","division",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","dollar",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","done",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","doubles",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","doubling",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","doubt",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","dozen",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","draconian",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","dramatically",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","draw",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","dream",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","dried",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","driest",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","drilling",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","drive",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","driven",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","drop",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","dropping",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","dwindled",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","dwindling",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","each",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","earl",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","earlier",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","early",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","earnest",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","ease",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","easier",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","easily",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","eastern",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","easy",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","economic",1,4393,0.000227634873662645,0.826678573184468,0.000188180872566462
"Industrial Evolution","ed",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","edge",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","edt",1,4393,0.000227634873662645,0,0
"Industrial Evolution","effective",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","eighties",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","electrical",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","electricity",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","eliminating",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","else",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","enamored",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","encouraging",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","english",1,4393,0.000227634873662645,0,0
"Industrial Evolution","enormous",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","enter",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","entire",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","environment",1,4393,0.000227634873662645,0.133531392624523,3.03964016900803e-05
"Industrial Evolution","episode",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","equivalent",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","especially",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","essential",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","estimated",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","evangelical",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","event",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","events",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","ever",1,4393,0.000227634873662645,0.980829253011726,0.000223270943093951
"Industrial Evolution","exacerbates",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","exaggerated",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","exclaimed",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","expand",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","expanding",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","expected",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","expecting",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","expensive",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","experiences",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","extension",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","extensive",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","extreme",1,4393,0.000227634873662645,0.980829253011726,0.000223270943093951
"Industrial Evolution","faced",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","fact",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","factors",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","factory",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","fair",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","farley",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","fashioned",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","fast",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","faster",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","fate",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","february",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","federally",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","feeling",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","fielded",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","fifteen",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","fifties",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","filing",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","filled",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","filter",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","finally",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","finished",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","fires",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","fixed",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","flint",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","floor",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","flourishing",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","focused",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","force",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","forcing",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","form",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","forty",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","founding",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","fourteenth",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","free",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","frightening",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","funds",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","funny",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","further",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","futile",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","gallon",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","gary",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","gases",1,4393,0.000227634873662645,0.693147180559945,0.000157784470876382
"Industrial Evolution","gathering",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","gave",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","general",1,4393,0.000227634873662645,0.980829253011726,0.000223270943093951
"Industrial Evolution","generation",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","geographic",1,4393,0.000227634873662645,0,0
"Industrial Evolution","germany",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","gingrich",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","golf",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","gonna",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","gore's",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","got",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","governments",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","grain",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","grand",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","grander",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","graphic",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","grapple",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","grimace",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","grind",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","groesbeck",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","groups",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","grow",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","growing",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","gulf",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","hamlet",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","handed",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","happened",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","happening",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","hardly",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hashtag",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hate",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hauling",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","heads",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","health",1,4393,0.000227634873662645,1.16315080980568,0.00026477368764072
"Industrial Evolution","hector",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","heel",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","helping",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","highlight",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","highway",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hiked",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","him",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","himself",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","hit",1,4393,0.000227634873662645,1.38629436111989,0.000315568941752764
"Industrial Evolution","hogging",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hold",1,4393,0.000227634873662645,1.67397643357167,0.000381055413970333
"Industrial Evolution","homes",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hopes",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","horrors",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hose",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hospitals",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","houses",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","houston",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","hundreds",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","husband",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","hypothetically",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","i.e",1,4393,0.000227634873662645,2.07944154167984,0.000473353412629145
"Industrial Evolution","illusions",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
"Industrial Evolution","illustrate",1,4393,0.000227634873662645,2.77258872223978,0.000631137883505527
